"run_id","source_file","curation_status","scenario_id","treatment","treatment_pair_id","repetition"
"phase05_20260505_204624_a0d2f963","data/logs/phase05_experiments/raw/phase05_20260505_204624_a0d2f963_baseline_descent.csv","accepted","P05_S01_H2_Y04_YAW0","T0","P05_S01_H2_Y04_YAW0_R09","9"
"phase05_20260505_204943_14fa9d91","data/logs/phase05_experiments/raw/phase05_20260505_204943_14fa9d91_mavlink_visual_servo.csv","accepted","P05_S01_H2_Y04_YAW0","T1","P05_S01_H2_Y04_YAW0_R09","9"
"phase05_20260505_205420_2950f2f8","data/logs/phase05_experiments/raw/phase05_20260505_205420_2950f2f8_mavlink_visual_servo.csv","accepted","P05_S01_H2_Y04_YAW0","T1","P05_S01_H2_Y04_YAW0_R10","10"
"phase05_20260505_205624_6dc3309e","data/logs/phase05_experiments/raw/phase05_20260505_205624_6dc3309e_baseline_descent.csv","accepted","P05_S01_H2_Y04_YAW0","T0","P05_S01_H2_Y04_YAW0_R10","10"
"phase05_20260505_212244_60e653af","data/logs/phase05_experiments/raw/phase05_20260505_212244_60e653af_baseline_descent.csv","accepted","P05_S02_H2_Y04_YAW15","T0","P05_S02_H2_Y04_YAW15_R01","1"
"phase05_20260505_212727_5fc9e757","data/logs/phase05_experiments/raw/phase05_20260505_212727_5fc9e757_mavlink_visual_servo.csv","excluded","P05_S02_H2_Y04_YAW15","T1","P05_S02_H2_Y04_YAW15_R01","1"
"phase05_20260505_213632_1aeebbe7","data/logs/phase05_experiments/raw/phase05_20260505_213632_1aeebbe7_mavlink_visual_servo.csv","excluded","P05_S02_H2_Y04_YAW15","T1","P05_S02_H2_Y04_YAW15_R01","1"
"phase05_20260505_215332_c32234b5","data/logs/phase05_experiments/raw/phase05_20260505_215332_c32234b5_mavlink_visual_servo.csv","excluded","P05_S02_H2_Y04_YAW15_DIAG","T1","P05_S02_H2_Y04_YAW15_DIAG_R01","1"
"phase05_20260506_220836_6d1110a0","data/logs/phase05_experiments/raw/phase05_20260506_220836_6d1110a0_mavlink_visual_servo.csv","accepted","P05_S02_H2_Y04_YAW15","T1","P05_S02_H2_Y04_YAW15_R01","1"
"phase05_20260506_222127_a5df3786","data/logs/phase05_experiments/raw/phase05_20260506_222127_a5df3786_mavlink_visual_servo.csv","accepted","P05_S02_H2_Y04_YAW15","T1","P05_S02_H2_Y04_YAW15_R02","2"
"phase05_20260506_222339_fad7e0f2","data/logs/phase05_experiments/raw/phase05_20260506_222339_fad7e0f2_baseline_descent.csv","accepted","P05_S02_H2_Y04_YAW15","T0","P05_S02_H2_Y04_YAW15_R02","2"
"phase05_20260506_222538_f7bff17b","data/logs/phase05_experiments/raw/phase05_20260506_222538_f7bff17b_baseline_descent.csv","accepted","P05_S02_H2_Y04_YAW15","T0","P05_S02_H2_Y04_YAW15_R03","3"
"phase05_20260506_222740_a752e2bd","data/logs/phase05_experiments/raw/phase05_20260506_222740_a752e2bd_mavlink_visual_servo.csv","excluded","P05_S02_H2_Y04_YAW15","T1","P05_S02_H2_Y04_YAW15_R03","3"
"phase05_20260506_222948_9cf2352f","data/logs/phase05_experiments/raw/phase05_20260506_222948_9cf2352f_mavlink_visual_servo.csv","excluded","P05_S02_H2_Y04_YAW15","T1","P05_S02_H2_Y04_YAW15_R04","4"
"phase05_20260506_223142_f52b8e85","data/logs/phase05_experiments/raw/phase05_20260506_223142_f52b8e85_baseline_descent.csv","accepted","P05_S02_H2_Y04_YAW15","T0","P05_S02_H2_Y04_YAW15_R04","4"
"phase05_20260506_223941_15b8da6a","data/logs/phase05_experiments/raw/phase05_20260506_223941_15b8da6a_mavlink_visual_servo.csv","accepted","P05_S02_H2_Y04_YAW15","T1","P05_S02_H2_Y04_YAW15_R03","3"
"phase05_20260506_224144_bda896e4","data/logs/phase05_experiments/raw/phase05_20260506_224144_bda896e4_mavlink_visual_servo.csv","accepted","P05_S02_H2_Y04_YAW15","T1","P05_S02_H2_Y04_YAW15_R04","4"
"phase05_20260506_225204_cd5af6c5","data/logs/phase05_experiments/raw/phase05_20260506_225204_cd5af6c5_baseline_descent.csv","superseded","P05_S02_H2_Y04_YAW15","T0","P05_S02_H2_Y04_YAW15_R05","5"
"phase05_20260506_225359_b159c30b","data/logs/phase05_experiments/raw/phase05_20260506_225359_b159c30b_mavlink_visual_servo.csv","superseded","P05_S02_H2_Y04_YAW15","T1","P05_S02_H2_Y04_YAW15_R05","5"
"phase05_20260506_225630_93cc83e3","data/logs/phase05_experiments/raw/phase05_20260506_225630_93cc83e3_mavlink_visual_servo.csv","superseded","P05_S02_H2_Y04_YAW15","T1","P05_S02_H2_Y04_YAW15_R06","6"
"phase05_20260506_225833_1e65c812","data/logs/phase05_experiments/raw/phase05_20260506_225833_1e65c812_baseline_descent.csv","superseded","P05_S02_H2_Y04_YAW15","T0","P05_S02_H2_Y04_YAW15_R06","6"
"phase05_20260506_230025_ebc765b5","data/logs/phase05_experiments/raw/phase05_20260506_230025_ebc765b5_baseline_descent.csv","superseded","P05_S02_H2_Y04_YAW15","T0","P05_S02_H2_Y04_YAW15_R07","7"
"phase05_20260506_230225_10e6ea83","data/logs/phase05_experiments/raw/phase05_20260506_230225_10e6ea83_mavlink_visual_servo.csv","superseded","P05_S02_H2_Y04_YAW15","T1","P05_S02_H2_Y04_YAW15_R07","7"
"phase05_20260506_231219_1598cbf1","data/logs/phase05_experiments/raw/phase05_20260506_231219_1598cbf1_mavlink_visual_servo.csv","excluded","P05_S02_H2_Y04_YAW15_DIAG","T1","P05_S02_H2_Y04_YAW15_DIAG_R01","1"
"phase05_20260506_233844_cc63ed08","data/logs/phase05_experiments/raw/phase05_20260506_233844_cc63ed08_mavlink_visual_servo.csv","excluded","P05_S02_H2_Y04_YAW15_ABSYAW_DIAG","T1","P05_S02_H2_Y04_YAW15_ABSYAW_DIAG_R01","1"
"phase05_20260508_230559_a6773794","data/logs/phase05_experiments/raw/phase05_20260508_230559_a6773794_mavlink_visual_servo.csv","excluded","P05_S02_H2_Y04_YAW15_ABSYAW_H105_DIAG","T1","P05_S02_H2_Y04_YAW15_ABSYAW_H105_DIAG_R01","1"
"phase05_20260508_232252_383f3956","data/logs/phase05_experiments/raw/phase05_20260508_232252_383f3956_baseline_descent.csv","accepted","P05_S02_H2_Y04_YAW15","T0","P05_S02_H2_Y04_YAW15_R05","5"
"phase05_20260508_232456_adf8e39a","data/logs/phase05_experiments/raw/phase05_20260508_232456_adf8e39a_mavlink_visual_servo.csv","accepted","P05_S02_H2_Y04_YAW15","T1","P05_S02_H2_Y04_YAW15_R05","5"
"phase05_20260508_232703_429b8f5b","data/logs/phase05_experiments/raw/phase05_20260508_232703_429b8f5b_mavlink_visual_servo.csv","accepted","P05_S02_H2_Y04_YAW15","T1","P05_S02_H2_Y04_YAW15_R06","6"
"phase05_20260508_232901_d1c52dd5","data/logs/phase05_experiments/raw/phase05_20260508_232901_d1c52dd5_baseline_descent.csv","accepted","P05_S02_H2_Y04_YAW15","T0","P05_S02_H2_Y04_YAW15_R06","6"
"phase05_20260508_233055_78205df8","data/logs/phase05_experiments/raw/phase05_20260508_233055_78205df8_baseline_descent.csv","accepted","P05_S02_H2_Y04_YAW15","T0","P05_S02_H2_Y04_YAW15_R07","7"
"phase05_20260508_233244_dd7fa514","data/logs/phase05_experiments/raw/phase05_20260508_233244_dd7fa514_mavlink_visual_servo.csv","accepted","P05_S02_H2_Y04_YAW15","T1","P05_S02_H2_Y04_YAW15_R07","7"
"phase05_20260508_234338_2a120ef2","data/logs/phase05_experiments/raw/phase05_20260508_234338_2a120ef2_mavlink_visual_servo.csv","accepted","P05_S02_H2_Y04_YAW15","T1","P05_S02_H2_Y04_YAW15_R08","8"
"phase05_20260508_234529_e128c503","data/logs/phase05_experiments/raw/phase05_20260508_234529_e128c503_baseline_descent.csv","accepted","P05_S02_H2_Y04_YAW15","T0","P05_S02_H2_Y04_YAW15_R08","8"
"phase05_20260508_234728_fe8b975a","data/logs/phase05_experiments/raw/phase05_20260508_234728_fe8b975a_baseline_descent.csv","accepted","P05_S02_H2_Y04_YAW15","T0","P05_S02_H2_Y04_YAW15_R09","9"
"phase05_20260508_235107_065ebbfe","data/logs/phase05_experiments/raw/phase05_20260508_235107_065ebbfe_mavlink_visual_servo.csv","accepted","P05_S02_H2_Y04_YAW15","T1","P05_S02_H2_Y04_YAW15_R09","9"
"phase05_20260508_235301_34c84471","data/logs/phase05_experiments/raw/phase05_20260508_235301_34c84471_mavlink_visual_servo.csv","accepted","P05_S02_H2_Y04_YAW15","T1","P05_S02_H2_Y04_YAW15_R10","10"
